sno,Name,symbol,date,value
1,BITCOIN,BTC,17/08/2017,4285.08
2,BITCOIN,BTC,18/08/2017,4108.37
3,BITCOIN,BTC,19/08/2017,4139.98
4,BITCOIN,BTC,20/08/2017,4086.29
5,BITCOIN,BTC,21/08/2017,4016
6,BITCOIN,BTC,22/08/2017,4040
7,BITCOIN,BTC,23/08/2017,4114.01
8,BITCOIN,BTC,24/08/2017,4316.01
9,BITCOIN,BTC,25/08/2017,4280.68
10,BITCOIN,BTC,26/08/2017,4337.44
11,BITCOIN,BTC,27/08/2017,4310.01
12,BITCOIN,BTC,28/08/2017,4386.69
13,BITCOIN,BTC,29/08/2017,4587.48
14,BITCOIN,BTC,30/08/2017,4555.14
15,BITCOIN,BTC,31/08/2017,4724.89
16,BITCOIN,BTC,01/09/2017,4834.91
17,BITCOIN,BTC,02/09/2017,4472.14
18,BITCOIN,BTC,03/09/2017,4509.08
19,BITCOIN,BTC,04/09/2017,4100.11
20,BITCOIN,BTC,05/09/2017,4366.47
21,BITCOIN,BTC,06/09/2017,4619.77
22,BITCOIN,BTC,07/09/2017,4691.61
23,BITCOIN,BTC,08/09/2017,4282.8
24,BITCOIN,BTC,09/09/2017,4258.81
25,BITCOIN,BTC,10/09/2017,4130.37
26,BITCOIN,BTC,11/09/2017,4208.47
27,BITCOIN,BTC,12/09/2017,4163.72
28,BITCOIN,BTC,13/09/2017,3944.69
29,BITCOIN,BTC,14/09/2017,3189.02
30,BITCOIN,BTC,15/09/2017,3700
31,BITCOIN,BTC,16/09/2017,3714.95
32,BITCOIN,BTC,17/09/2017,3699.99
33,BITCOIN,BTC,18/09/2017,4035.01
34,BITCOIN,BTC,19/09/2017,3910.04
35,BITCOIN,BTC,20/09/2017,3900
36,BITCOIN,BTC,21/09/2017,3609.99
37,BITCOIN,BTC,22/09/2017,3595.87
38,BITCOIN,BTC,23/09/2017,3780
39,BITCOIN,BTC,24/09/2017,3660.02
40,BITCOIN,BTC,25/09/2017,3920.75
41,BITCOIN,BTC,26/09/2017,3882.35
42,BITCOIN,BTC,27/09/2017,4193
43,BITCOIN,BTC,28/09/2017,4174.5
44,BITCOIN,BTC,29/09/2017,4174.69
45,BITCOIN,BTC,30/09/2017,4378.51
46,BITCOIN,BTC,01/10/2017,4378.48
47,BITCOIN,BTC,02/10/2017,4380
48,BITCOIN,BTC,03/10/2017,4310
49,BITCOIN,BTC,04/10/2017,4208.59
50,BITCOIN,BTC,05/10/2017,4292.43
51,BITCOIN,BTC,06/10/2017,4369
52,BITCOIN,BTC,07/10/2017,4423
53,BITCOIN,BTC,08/10/2017,4640
54,BITCOIN,BTC,09/10/2017,4786.95
55,BITCOIN,BTC,10/10/2017,4783.06
56,BITCOIN,BTC,11/10/2017,4821.43
57,BITCOIN,BTC,12/10/2017,5430
58,BITCOIN,BTC,13/10/2017,5649.98
59,BITCOIN,BTC,14/10/2017,5869.99
60,BITCOIN,BTC,15/10/2017,5709.99
61,BITCOIN,BTC,16/10/2017,5760.02
62,BITCOIN,BTC,17/10/2017,5595
63,BITCOIN,BTC,18/10/2017,5512.06
64,BITCOIN,BTC,19/10/2017,5683.9
65,BITCOIN,BTC,20/10/2017,6010.01
66,BITCOIN,BTC,21/10/2017,6024.97
67,BITCOIN,BTC,22/10/2017,5950.02
68,BITCOIN,BTC,23/10/2017,5915.93
69,BITCOIN,BTC,24/10/2017,5477.03
70,BITCOIN,BTC,25/10/2017,5689.99
71,BITCOIN,BTC,26/10/2017,5861.77
72,BITCOIN,BTC,27/10/2017,5768.83
73,BITCOIN,BTC,28/10/2017,5719.64
74,BITCOIN,BTC,29/10/2017,6169.98
75,BITCOIN,BTC,30/10/2017,6120.5
76,BITCOIN,BTC,31/10/2017,6463
77,BITCOIN,BTC,01/11/2017,6753.98
78,BITCOIN,BTC,02/11/2017,7019.98
79,BITCOIN,BTC,03/11/2017,7115.04
80,BITCOIN,BTC,04/11/2017,7357.09
81,BITCOIN,BTC,05/11/2017,7345.01
82,BITCOIN,BTC,06/11/2017,6960.12
83,BITCOIN,BTC,07/11/2017,7064.04
84,BITCOIN,BTC,08/11/2017,7303
85,BITCOIN,BTC,09/11/2017,7079.99
86,BITCOIN,BTC,10/11/2017,6506.98
87,BITCOIN,BTC,11/11/2017,6245.05
88,BITCOIN,BTC,12/11/2017,5811.03
89,BITCOIN,BTC,13/11/2017,6465.99
90,BITCOIN,BTC,14/11/2017,6574.99
91,BITCOIN,BTC,15/11/2017,7240.06
92,BITCOIN,BTC,16/11/2017,7864.5
93,BITCOIN,BTC,17/11/2017,7699.19
94,BITCOIN,BTC,18/11/2017,7761.94
95,BITCOIN,BTC,19/11/2017,8038
96,BITCOIN,BTC,20/11/2017,8212
97,BITCOIN,BTC,21/11/2017,8119.51
98,BITCOIN,BTC,22/11/2017,8205.92
99,BITCOIN,BTC,23/11/2017,8019.99
100,BITCOIN,BTC,24/11/2017,8138
101,BITCOIN,BTC,25/11/2017,8700.01
102,BITCOIN,BTC,26/11/2017,9128.02
103,BITCOIN,BTC,27/11/2017,9650
104,BITCOIN,BTC,28/11/2017,9896.8
105,BITCOIN,BTC,29/11/2017,9687.88
106,BITCOIN,BTC,30/11/2017,9838.96
107,BITCOIN,BTC,01/12/2017,10782.99
108,BITCOIN,BTC,02/12/2017,10890.01
109,BITCOIN,BTC,03/12/2017,11165.41
110,BITCOIN,BTC,04/12/2017,11579
111,BITCOIN,BTC,05/12/2017,11699.99
112,BITCOIN,BTC,06/12/2017,13550.05
113,BITCOIN,BTC,07/12/2017,16599
114,BITCOIN,BTC,08/12/2017,15880
115,BITCOIN,BTC,09/12/2017,14656.07
116,BITCOIN,BTC,10/12/2017,14899.98
117,BITCOIN,BTC,11/12/2017,16587.97
118,BITCOIN,BTC,12/12/2017,16349.99
119,BITCOIN,BTC,13/12/2017,16033.29
120,BITCOIN,BTC,14/12/2017,16334.98
121,BITCOIN,BTC,15/12/2017,17539.83
122,BITCOIN,BTC,16/12/2017,19102.66
123,BITCOIN,BTC,17/12/2017,18860.02
124,BITCOIN,BTC,18/12/2017 00:00,18856.25
125,BITCOIN,BTC,18/12/2017,18856.25
126,BITCOIN,BTC,19/12/2017 00:00,17295.2
127,BITCOIN,BTC,20/12/2017 00:00,16488.98
128,BITCOIN,BTC,21/12/2017 00:00,15492.64
129,BITCOIN,BTC,22/12/2017 00:00,13326.61
130,BITCOIN,BTC,23/12/2017 00:00,13300
131,BITCOIN,BTC,24/12/2017 00:00,13500
132,BITCOIN,BTC,25/12/2017 00:00,13699.34
133,BITCOIN,BTC,26/12/2017 00:00,15689.01
134,BITCOIN,BTC,27/12/2017 00:00,15459.99
135,BITCOIN,BTC,28/12/2017 00:00,14182.11
136,BITCOIN,BTC,29/12/2017 00:00,14378.9
137,BITCOIN,BTC,30/12/2017 00:00,12440.01
138,BITCOIN,BTC,31/12/2017 00:00,13716.36
139,BITCOIN,BTC,01/01/2018 00:00,13380
140,BITCOIN,BTC,02/01/2018 00:00,14675.11
141,BITCOIN,BTC,03/01/2018 00:00,14919.51
142,BITCOIN,BTC,04/01/2018 00:00,15059.54
143,BITCOIN,BTC,05/01/2018 00:00,16960.39
144,BITCOIN,BTC,06/01/2018 00:00,17069.79
145,BITCOIN,BTC,07/01/2018 00:00,16150.03
146,BITCOIN,BTC,08/01/2018 00:00,14902.54
147,BITCOIN,BTC,09/01/2018 00:00,14400
148,BITCOIN,BTC,10/01/2018 00:00,14907.09
149,BITCOIN,BTC,11/01/2018 00:00,13238.78
150,BITCOIN,BTC,12/01/2018 00:00,13740.01
151,BITCOIN,BTC,13/01/2018 00:00,14210
152,BITCOIN,BTC,14/01/2018 00:00,13474.99
153,BITCOIN,BTC,15/01/2018 00:00,13539.93
154,BITCOIN,BTC,16/01/2018 00:00,10900
155,BITCOIN,BTC,17/01/2018 00:00,10988.79
156,BITCOIN,BTC,18/01/2018 00:00,10961.97
157,BITCOIN,BTC,19/01/2018 00:00,11474.98
158,BITCOIN,BTC,20/01/2018 00:00,12799.94
159,BITCOIN,BTC,21/01/2018 00:00,11530
160,BITCOIN,BTC,22/01/2018 00:00,10760.05
161,BITCOIN,BTC,23/01/2018 00:00,10799.18
162,BITCOIN,BTC,24/01/2018 00:00,11349.99
163,BITCOIN,BTC,25/01/2018 00:00,11175.27
164,BITCOIN,BTC,26/01/2018 00:00,11089
165,BITCOIN,BTC,27/01/2018 00:00,11491
166,BITCOIN,BTC,28/01/2018 00:00,11879.95
167,BITCOIN,BTC,29/01/2018 00:00,11251
168,BITCOIN,BTC,30/01/2018 00:00,10237.51
