sno,Name,symbol,date,value
1,Ethereum,ETH,17/08/2017,302
2,Ethereum,ETH,18/08/2017,293.96
3,Ethereum,ETH,19/08/2017,290.91
4,Ethereum,ETH,20/08/2017,299.1
5,Ethereum,ETH,21/08/2017,323.29
6,Ethereum,ETH,22/08/2017,309.8
7,Ethereum,ETH,23/08/2017,315.74
8,Ethereum,ETH,24/08/2017,323.42
9,Ethereum,ETH,25/08/2017,327.24
10,Ethereum,ETH,26/08/2017,330.79
11,Ethereum,ETH,27/08/2017,348.13
12,Ethereum,ETH,28/08/2017,346
13,Ethereum,ETH,29/08/2017,374.7
14,Ethereum,ETH,30/08/2017,385.93
15,Ethereum,ETH,31/08/2017,384.79
16,Ethereum,ETH,01/09/2017,388.46
17,Ethereum,ETH,02/09/2017,343.14
18,Ethereum,ETH,03/09/2017,341.77
19,Ethereum,ETH,04/09/2017,283.77
20,Ethereum,ETH,05/09/2017,312.09
21,Ethereum,ETH,06/09/2017,335
22,Ethereum,ETH,07/09/2017,334.49
23,Ethereum,ETH,08/09/2017,302.99
24,Ethereum,ETH,09/09/2017,296.74
25,Ethereum,ETH,10/09/2017,293.5
26,Ethereum,ETH,11/09/2017,297.3
27,Ethereum,ETH,12/09/2017,293.96
28,Ethereum,ETH,13/09/2017,276.91
29,Ethereum,ETH,14/09/2017,215.21
30,Ethereum,ETH,15/09/2017,253
31,Ethereum,ETH,16/09/2017,249.31
32,Ethereum,ETH,17/09/2017,257.55
33,Ethereum,ETH,18/09/2017,294.57
34,Ethereum,ETH,19/09/2017,284
35,Ethereum,ETH,20/09/2017,282
36,Ethereum,ETH,21/09/2017,257
37,Ethereum,ETH,22/09/2017,264
38,Ethereum,ETH,23/09/2017,285.93
39,Ethereum,ETH,24/09/2017,282
40,Ethereum,ETH,25/09/2017,294.42
41,Ethereum,ETH,26/09/2017,287.9
42,Ethereum,ETH,27/09/2017,309.74
43,Ethereum,ETH,28/09/2017,302.44
44,Ethereum,ETH,29/09/2017,292.22
45,Ethereum,ETH,30/09/2017,304.36
46,Ethereum,ETH,01/10/2017,303.95
47,Ethereum,ETH,02/10/2017,296.5
48,Ethereum,ETH,03/10/2017,292.48
49,Ethereum,ETH,04/10/2017,291.99
50,Ethereum,ETH,05/10/2017,294.81
51,Ethereum,ETH,06/10/2017,310.8
52,Ethereum,ETH,07/10/2017,311.01
53,Ethereum,ETH,08/10/2017,311.07
54,Ethereum,ETH,09/10/2017,297.19
55,Ethereum,ETH,10/10/2017,298.64
56,Ethereum,ETH,11/10/2017,304.01
57,Ethereum,ETH,12/10/2017,303.99
